ECE 111,ECE 112,ECE 114,ECE 121,ECE 122,ECE 131,ECE 132,ECE 133,ECE 141,ECE 143,ECE 142,ECE 146,ECE 152,ECE 153,ECE 156,ECE 151,ECE 154,ECE 158,ECE 155,ECE 162,ECE 160,ECE 163,ECE 164,ECE 166,ECE 168,ECE 202,ECE 167,MATAVE,GENENGAVE,ELECENGAVE,ELECSYSAVE,NATSCIAVE,BASENSCIAVE,ALCOUAVE,PROAVE,PERFORMANCE
3.0,2.75,2.5,1.75,2.0,1.5,2.5,2.5,3.0,2.25,2.5,2.25,2.75,2.5,1.75,2.75,1.75,2.0,2.75,2.5,2.25,2.0,3.0,1.9,1.5,1.25,1.5,2.8,2.2,2.125,2.416666667,1.875,2.166666667,2.5,2.189285714,1
3.0,2.8,2.5,1.95,2.35,2.25,2.0,2.5,1.95,3.0,2.25,2.5,3.0,3.0,1.75,3.0,2.45,3.0,2.75,2.75,3.0,2.75,2.5,2.0,2.0,1.5,2.75,2.76,2.25,2.825,2.833333333,2.15,2.25,2.425,2.532142857,0
2.85,2.9,2.75,1.85,2.6,2.0,2.9,2.25,2.8,2.55,2.1,1.5,2.75,3.2,2.35,3.0,2.0,2.7,2.5,2.85,2.75,2.2,2.2,2.35,2.3,1.9,2.85,2.69,2.29,2.666666667,2.683333333,2.225,2.383333333,2.2375,2.503571429,0
2.5,2.75,2.25,1.8,1.5,2.25,2.25,2.0,2.25,3.0,2.4,2.25,2.25,2.5,2.5,2.75,2.5,2.25,3.0,2.75,2.0,2.25,3.0,1.75,2.0,1.25,2.25,2.55,2.22,2.375,2.666666667,1.65,2.166666667,2.475,2.339285714,1
2.75,3.0,2.75,1.75,2.5,1.5,2.75,2.25,2.5,2.25,2.5,1.75,2.75,3.0,2.0,2.75,2.25,2.5,3.0,2.75,2.25,2.25,3.0,2.0,1.5,1.0,1.75,2.85,2.175,2.375,2.75,2.125,2.166666667,2.25,2.357142857,0
3.0,3.0,2.5,2.05,1.5,2.5,2.75,2.0,2.0,2.75,2.65,2.25,2.75,2.75,1.75,3.0,2.5,2.75,2.5,2.75,2.25,2.5,3.0,2.0,1.25,1.5,2.5,2.85,2.22,2.583333333,2.666666667,1.775,2.416666667,2.4125,2.375,0
2.8,2.75,2.55,2.05,2.7,2.3,3.0,1.75,2.4,2.9,2.25,1.7,2.55,2.65,2.5,2.75,2.4,3.0,2.25,3.0,2.75,2.0,1.75,2.0,2.0,1.25,2.5,2.48,2.355,2.508333333,2.75,2.375,2.35,2.3125,2.346428571,0
2.5,2.25,1.75,1.5,2.5,1.5,2.25,2.5,3.0,2.25,2.25,2.25,2.25,2.5,2.0,2.5,1.75,2.5,2.75,2.75,2.25,2.0,3.0,1.85,1.5,1.25,1.75,2.35,2.2,2.125,2.666666667,2.0,2.083333333,2.4375,2.203571429,1
3.0,3.0,2.75,1.9,1.5,1.75,2.75,2.0,2.75,2.5,2.4,2.25,2.5,3.0,2.0,2.25,2.75,2.75,2.75,2.5,2.75,2.0,3.0,1.9,1.25,1.25,1.75,2.85,2.18,2.416666667,2.666666667,1.7,2.166666667,2.475,2.332142857,0
2.25,2.5,2.25,1.9,2.0,2.0,2.75,2.5,2.25,3.0,2.25,2.25,2.75,2.25,2.25,2.75,3.0,2.5,3.0,2.5,2.5,2.0,3.0,1.8,1.5,1.25,2.0,2.55,2.315,2.416666667,2.666666667,1.95,2.416666667,2.4375,2.360714286,1
